Памятник;Погребение;Год;Возраст;Обряд;Пол;Сохранность
Нефедьево 1В;1;1985;35-50;ингумация;мужской;средняя
Нефедьево 1В;10;1985;2-4;ингумация;не определен;удовлетворительная
Нефедьево 1В;12;1985;до 2;ингумация;не определен;удовлетворительная
Нефедьево 1В;2;1985;3-5;ингумация;не определен;средняя
Нефедьево 1В;3;1985;20+;ингумация;не определен;удовлетворительная
Нефедьево 1В;4;1985;25-35;ингумация;женский;средняя
Нефедьево 1В;5;1985;25-35;ингумация;женский;хорошая
Нефедьево 1В;6;1985;25-35;ингумация;женский;средняя
Нефедьево 1В;7;1985;30-40;ингумация;мужской;хорошая
Нефедьево 1В;8;1985;25-40;ингумация;женский;средняя
Нефедьево 1В;14;1986;6-7;ингумация;не определен;средняя
Нефедьево 1В;15;1986;1-2;ингумация;не определен;средняя
Нефедьево 1В;20;1986;40-49;ингумация;женский;средняя
Нефедьево 1В;21;1986;13-14;ингумация;не определен;удовлетворительная
Нефедьево 1В;22;1986;25-35;ингумация;мужской;средняя
Нефедьево 1В;23;1986;7-10;ингумация;не определен;средняя
Нефедьево 1В;24;1986;4-5;ингумация;не определен;средняя
Нефедьево 1В;25;1986;45-50;ингумация;мужской;средняя
Нефедьево 1В;27;1987;35-45;ингумация;женский;средняя
Нефедьево 1В;28;1987;45-55;ингумация;женский;средняя
Нефедьево 1В;29;1987;20-35;ингумация;мужской;средняя
Нефедьево 1В;30;1987;45-55;ингумация;мужской;средняя
Нефедьево 1В;31;1987;35-45;ингумация;женский;хорошая
Нефедьево 1В;32;1987;3-6;ингумация;не определен;средняя
Нефедьево 1В;33;1987;25-35;ингумация;мужской;удовлетворительная
Нефедьево 1В;35;1987;18-25;ингумация;мужской;средняя
Нефедьево 1В;36;1987;35-45;ингумация;не определен;средняя
Нефедьево 1В;37;1987;25-35;ингумация;мужской;средняя
Нефедьево 1В;38;1987;25-35;ингумация;мужской;средняя
Нефедьево 1В;39;1987;до 1;ингумация;не определен;плохая
Нефедьево 1В;40;1987;45-55;ингумация;мужской;средняя
Нефедьево 1В;41;1987;45-55;ингумация;женский;средняя
Нефедьево 1В;42;1987;45+;ингумация;женский;средняя
Нефедьево 1В;43;1987;25-35;ингумация;мужской;хорошая
Нефедьево 1В;44;1987;50-55;ингумация;женский;хорошая
Нефедьево 1В;45;1987;50-55;ингумация;мужской;хорошая
Нефедьево 1В;46;1987;50-60;ингумация;женский;средняя
Нефедьево 1В;47;1987;55+;ингумация;мужской;средняя
Нефедьево 1В;48;1987;40-50;ингумация;женский;средняя
Нефедьево 1В;49;1987;20-30;ингумация;мужской;средняя
Нефедьево 1В;50;1988;50-60;ингумация;мужской;хорошая
Нефедьево 1В;51;1988;45-55;ингумация;женский;средняя
Нефедьево 1В;52;1988;1-5;ингумация;не определен;средняя
Нефедьево 1В;53;1988;20-30;ингумация;женский;средняя
Нефедьево 1В;54;1988;40-50;ингумация;женский;средняя
Нефедьево 1В;55;1988;45-55;ингумация;мужской;средняя
Нефедьево 1В;57;1988;60+;ингумация;женский;средняя
Нефедьево 1В;58;1988;50-55;ингумация;женский;средняя
Нефедьево 1В;59;1988;1-2;ингумация;не определен;средняя
Нефедьево 1В;60;1988;50-55;ингумация;женский;средняя
Нефедьево 1В;61;1988;50-55;ингумация;мужской;средняя
Нефедьево 1В;62;1988;45-55;ингумация;мужской;средняя
Нефедьево 1В;63;1988;40-50;ингумация;мужской;средняя
Нефедьево 1В;64;1988;18-25;ингумация;мужской;средняя
Нефедьево 1В;66;1989;19-55;ингумация;мужской;средняя
Нефедьево 1В;67;1989;до 1;ингумация;не определен;хорошая
Нефедьево 1В;69;1989;12-14;ингумация;не определен;средняя
Нефедьево 1В;70;1989;40-50;ингумация;мужской;средняя
Нефедьево 1В;71;1989;50-60;ингумация;женский;средняя
Нефедьево 1В;72;1989;50-60;ингумация;женский;средняя
Нефедьево 1В;73;1989;30-35;ингумация;мужской;средняя
Нефедьево 1В;74;1989;30-35;ингумация;женский;средняя
Нефедьево 1В;75;1989;40-60;ингумация;мужской;хорошая
Нефедьево 1В;76;1989;3-4;ингумация;не определен;средняя
Нефедьево 1В;77;1989;18-20;ингумация;мужской;средняя
Нефедьево 1В;78;1989;40-45;ингумация;мужской;хорошая
